generation,trait_mean,trait_var,trait_std,breeding_value_mean,breeding_value_var,selection_proportion,n_parents,genetic_gain,cumulative_gain,inbreeding_coeff,selection_intensity,response_to_selection,replicate,seed
27,17.285085678100586,0.0259126964956522,0.16097420454025269,15.59839916229248,0.012147227302193642,0.1,20,0.12774085998535156,17.33165379986167,,,,1,3009
28,17.38993263244629,0.0126804169267416,0.11260735988616943,15.71395206451416,0.006025807466357946,0.1,20,0.10484695434570312,17.436500754207373,,,,1,3009
29,17.504547119140625,0.008954636752605438,0.0946289449930191,15.82879638671875,0.004686476197093725,0.1,20,0.11461448669433594,17.55111524090171,,,,1,3009
30,17.58177375793457,0.015374529175460339,0.12399406731128693,15.905892372131348,0.006947936490178108,0.1,20,0.07722663879394531,17.628341879695654,,,,1,3009
31,17.67148208618164,0.01569298468530178,0.12527164816856384,16.001008987426758,0.007095708977431059,0.1,20,0.08970832824707031,17.718050207942724,,,,1,3009
32,17.783720016479492,0.013934013433754444,0.11804242432117462,16.099050521850586,0.005519714206457138,0.1,20,0.11223793029785156,17.830288138240576,,,,1,3009
33,17.862756729125977,0.010541042312979698,0.10266958177089691,16.178451538085938,0.005544638726860285,0.1,20,0.07903671264648438,17.90932485088706,,,,1,3009
34,17.937877655029297,0.00732598640024662,0.08559197932481766,16.249502182006836,0.003705604700371623,0.1,20,0.07512092590332031,17.98444577679038,,,,1,3009
35,17.992292404174805,0.003261030651628971,0.05710543319582939,16.309467315673828,0.0017152806976810098,0.1,20,0.05441474914550781,18.03886052593589,,,,1,3009
36,18.02187728881836,0.0003195337194483727,0.01787550561130047,16.338802337646484,0.0001579343224875629,0.1,20,0.029584884643554688,18.068445410579443,,,,1,3009
37,18.029478073120117,4.299158536014147e-05,0.006556796841323376,16.346742630004883,2.2351798179442994e-05,0.1,20,0.0076007843017578125,18.0760461948812,,,,1,3009
38,18.034082412719727,1.7828491763793863e-05,0.004222379997372627,16.351173400878906,8.604365575592965e-06,0.1,20,0.004604339599609375,18.08065053448081,,,,1,3009
39,18.03595733642578,1.5075205510584055e-06,0.0012278113281354308,16.352970123291016,8.704806759851635e-07,0.1,20,0.0018749237060546875,18.082525458186865,,,,1,3009
40,18.036779403686523,6.148184392151812e-12,2.4795533590804553e-06,16.35376739501953,3.637978807091713e-12,0.1,20,0.0008220672607421875,18.083347525447607,,,,1,3009
41,18.036781311035156,3.929017267784163e-12,1.982174808290438e-06,16.35376739501953,3.637978807091713e-12,0.1,20,1.9073486328125e-06,18.08334943279624,,,,1,3009
